Date,apple,bond,vix
2017-04-03,34.1715202331543,1.8769999742507935,12.380000114440918
2017-04-04,34.42597579956055,1.878000020980835,11.789999961853027
2017-04-05,34.247623443603516,1.8700000047683716,12.890000343322754
2017-04-06,34.162017822265625,1.8630000352859497,12.390000343322754
2017-04-07,34.08591842651367,1.9110000133514404,12.869999885559082
2017-04-10,34.04549789428711,1.899999976158142,14.050000190734863
2017-04-11,33.67928695678711,1.8320000171661377,15.069999694824219
2017-04-12,33.71971130371094,1.8300000429153442,15.770000457763672
2017-04-13,33.54136276245117,1.7640000581741333,15.960000038146973
2017-04-17,33.72685241699219,1.7769999504089355,14.65999984741211
2017-04-18,33.5770378112793,1.7100000381469727,14.420000076293945
2017-04-19,33.45337677001953,1.7289999723434448,14.930000305175781
2017-04-20,33.87190628051758,1.7719999551773071,14.149999618530273
2017-04-21,33.83147430419922,1.7599999904632568,14.630000114440918
2017-04-24,34.15726852416992,1.8020000457763672,10.84000015258789
2017-04-25,34.368900299072266,1.850000023841858,10.760000228881836
2017-04-26,34.16677474975586,1.8350000381469727,10.850000381469727
2017-04-27,34.192935943603516,1.819000005722046,10.359999656677246
2017-04-28,34.159637451171875,1.815999984741211,10.819999694824219
2017-05-01,34.856388092041016,1.847000002861023,10.109999656677246
2017-05-02,35.07754135131836,1.812999963760376,10.59000015258789
2017-05-03,34.97052764892578,1.8450000286102295,10.680000305175781
2017-05-04,34.844486236572266,1.8830000162124634,10.460000038146973
2017-05-05,35.42234420776367,1.8830000162124634,10.569999694824219
2017-05-08,36.38542175292969,1.899999976158142,9.770000457763672
2017-05-09,36.61846923828125,1.934999942779541,9.960000038146973
2017-05-10,36.44487380981445,1.937999963760376,10.210000038146973
2017-05-11,36.76005935668945,1.9279999732971191,10.600000381469727
2017-05-12,37.273441314697266,1.8530000448226929,10.399999618530273
2017-05-15,37.177921295166016,1.8580000400543213,10.420000076293945
2017-05-16,37.12301254272461,1.850000023841858,10.649999618530273
2017-05-17,35.87657928466797,1.7480000257492065,15.59000015258789
2017-05-18,36.423377990722656,1.7740000486373901,14.65999984741211
2017-05-19,36.54754638671875,1.7869999408721924,12.039999961853027
2017-05-22,36.769615173339844,1.7970000505447388,10.930000305175781
2017-05-23,36.724239349365234,1.8320000171661377,10.720000267028809
2017-05-24,36.61441421508789,1.8029999732971191,10.020000457763672
2017-05-25,36.7409553527832,1.7910000085830688,9.989999771118164
2017-05-26,36.67887878417969,1.7910000085830688,9.8100004196167
2017-05-30,36.69320297241211,1.7599999904632568,10.380000114440918
2017-05-31,36.47590637207031,1.7480000257492065,10.40999984741211
2017-06-01,36.57619857788086,1.7649999856948853,9.890000343322754
2017-06-02,37.11822509765625,1.718999981880188,9.75
2017-06-05,36.755287170410156,1.7419999837875366,10.069999694824219
2017-06-06,36.879451751708984,1.7120000123977661,10.449999809265137
2017-06-07,37.099124908447266,1.7419999837875366,10.390000343322754
2017-06-08,37.00838851928711,1.7549999952316284,10.15999984741211
2017-06-09,35.57332229614258,1.7630000114440918,10.699999809265137
2017-06-12,34.7232780456543,1.777999997138977,11.460000038146973
2017-06-13,35.00264358520508,1.7799999713897705,10.420000076293945
2017-06-14,34.66119384765625,1.725000023841858,10.640000343322754
2017-06-15,34.453453063964844,1.7630000114440918,10.899999618530273
2017-06-16,33.97111892700195,1.746999979019165,10.380000114440918
2017-06-19,34.94295120239258,1.7879999876022339,10.369999885559082
2017-06-20,34.62537384033203,1.7580000162124634,10.859999656677246
2017-06-21,34.830726623535156,1.7680000066757202,10.75
2017-06-22,34.7734260559082,1.7619999647140503,10.479999542236328
2017-06-23,34.92862319946289,1.7569999694824219,10.020000457763672
2017-06-26,34.81878662109375,1.7580000162124634,9.899999618530273
2017-06-27,34.319732666015625,1.812000036239624,11.0600004196167
2017-06-28,34.82117462158203,1.815999984741211,10.029999732971191
2017-06-29,34.30780029296875,1.850000023841858,11.4399995803833
2017-06-30,34.38898468017578,1.8849999904632568,11.180000305175781
2017-07-05,34.40569305419922,1.9249999523162842,11.069999694824219
2017-07-06,34.080963134765625,1.9420000314712524,12.539999961853027
2017-07-07,34.427188873291016,1.9570000171661377,11.1899995803833
2017-07-10,34.63731384277344,1.930999994277954,11.109999656677246
2017-07-11,34.749542236328125,1.9190000295639038,10.890000343322754
2017-07-12,34.7996826171875,1.88100004196167,10.300000190734863
2017-07-13,35.28440856933594,1.8910000324249268,9.899999618530273
2017-07-14,35.58765411376953,1.8609999418258667,9.510000228881836
2017-07-17,35.71181869506836,1.8530000448226929,9.819999694824219
2017-07-18,35.83598709106445,1.8179999589920044,9.890000343322754
2017-07-19,36.060447692871094,1.8209999799728394,9.789999961853027
2017-07-20,35.898067474365234,1.8229999542236328,9.579999923706055
2017-07-21,35.881351470947266,1.7999999523162842,9.359999656677246
2017-07-24,36.31593322753906,1.8209999799728394,9.430000305175781
2017-07-25,36.47113800048828,1.8849999904632568,9.430000305175781
2017-07-26,36.64306640625,1.8220000267028809,9.600000381469727
2017-07-27,35.95059585571289,1.8450000286102295,10.109999656677246
2017-07-28,35.69749450683594,1.8309999704360962,10.289999961853027
2017-07-31,35.51362991333008,1.8320000171661377,10.260000228881836
2017-08-01,35.828819274902344,1.7990000247955322,10.09000015258789
2017-08-02,37.52177047729492,1.819000005722046,10.279999732971191
2017-08-03,37.14688491821289,1.7899999618530273,10.4399995803833
2017-08-04,37.34268569946289,1.8220000267028809,10.029999732971191
2017-08-07,37.9205322265625,1.812000036239624,9.930000305175781
2017-08-08,38.223777770996094,1.8339999914169312,10.960000038146973
